YEAR,MONTH,DAY,TIME,SEASON,SITE,TYPE,OBSERVER,BUDDY,TRANSECT,HEADING OUT,Start Depth [0 meter of transect tape](m):,End Depth [30 meter of transect tape] (m):,SEGMENT OF THE TRANSECT,SUBSTRATE 1,SUBSTRATE 2,SUBSTRATE 3,SUBSTRATE 4,SUBSTRATE 5,RELIEF 1,RELIEF 2,RELIEF 3,RELIEF 4,RELIEF 5,SUPERLAYER 1,SUPERLAYER 2,SUPERLAYER 3,SUPERLAYER 4,SUPERLAYER 5,COVER 1,COVER 2,COVER 3,COVER 4,COVER 5,notes,problems
2025,8,25,10:30,SUMMER,FUCUS GARDEN,NEREO,Haleigh Yang,Caleigh Quist,2,0,4.4,3.8,10-15m,BEDRK,BEDRK,COB,COB,COB,10cm-1m,10cm-1m,10cm-1m,1m-2m,1m-2m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Shell Debris,encrusting brown,"Tunicate -Colonial,compund,social",,
2025,8,25,10:30,SUMMER,FUCUS GARDEN,NEREO,Haleigh Yang,Caleigh Quist,2,0,4.4,3.8,15-20m,BOULD,BOULD,COB,COB,COB,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Shell Debris,Shell Debris,encrusting brown,,
2025,8,25,10:30,SUMMER,FUCUS GARDEN,NEREO,Haleigh Yang,Caleigh Quist,2,0,4.4,3.8,20-25m,,,,,,,,,,,,,,,,,,,,,Did not survey 20-30m,
2025,8,25,10:30,SUMMER,FUCUS GARDEN,NEREO,Haleigh Yang,Caleigh Quist,2,0,4.4,3.8,25-30m,,,,,,,,,,,,,,,,,,,,,Did not survey 20-30m,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,0-5m,BOULD,BOULD,COB,SAND,SAND,0-10cm,0-10cm,0-10cm,0-10cm,10cm-1m,DRIFT,MACRO,NONE,NONE,NONE,Shell Debris,Coralline algae -Crustose,articulated coralline,Shell Debris,Shell Debris,,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,05-10m,COB,COB,COB,COB,SAND,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,HEDONI,NONE,NONE,NONE,NONE,Bare Rock,Bare Rock,Shell Debris,Shell Debris,Red algae -Encrusting,,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,10-15m,COB,SAND,SAND,SAND,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Shell Debris,Shell Debris,Shell Debris,Red algae -Encrusting,articulated coralline,,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,15-20m,COB,COB,COB,SAND,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Shell Debris,Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,articulated coralline,,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,20-25m,BOULD,COB,COB,COB,COB,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Shell Debris,Shell Debris,articulated coralline,,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,25-30m,BOULD,BOULD,BOULD,BOULD,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,AGACLA,NONE,NONE,NONE,NONE,Shell Debris,articulated coralline,articulated coralline,articulated coralline,encrusting brown,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,0-5m,BOULD,COB,COB,COB,SAND,0-10cm,0-10cm,0-10cm,0-10cm,10cm-1m,DRIFT,MACRO,NONE,NONE,NONE,Bare Sand,Coralline algae -Crustose,Coralline algae -Crustose,articulated coralline,articulated coralline,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,05-10m,COB,COB,COB,COB,SAND,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,HEDONI,NONE,NONE,NONE,NONE,Bare Rock,Bare Rock,Shell Debris,Shell Debris,Red algae -Encrusting,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,10-15m,COB,SAND,SAND,SAND,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Shell Debris,Shell Debris,Shell Debris,Red algae -Encrusting,articulated coralline,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,15-20m,COB,COB,COB,SAND,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Red algae -Encrusting,Red algae -Encrusting,articulated coralline,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,20-25m,BOULD,COB,COB,COB,COB,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Shell Debris,Shell Debris,articulated coralline,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,25-30m,BOULD,BOULD,BOULD,COB,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Red algae -Encrusting,Red algae -Encrusting,Red algae -Encrusting,,
